Site,Date,Day,Month,Year
Auba,4/23/2001,23,4,2001
Auba,6/21/2001,21,6,2001
Auba,9/4/2001,4,9,2001
Auba,6/14/2002,14,6,2002
Auba,3/17/2003,17,3,2003
Auba,7/15/2003,15,7,2003
Auba,7/10/2004,10,7,2004
Auba,3/24/2005,24,3,2005
Auba,3/24/2005,24,3,2005
Auba,6/6/2005,6,6,2005
Auba,4/10/2006,10,4,2006
Auba,6/15/2006,15,6,2006
Auba,7/12/2007,12,7,2007
Auba,4/23/2008,23,4,2008
Auba,6/23/2008,23,6,2008
Auba,4/8/2009,8,4,2009
Auba,6/23/2009,23,6,2009
Auba,3/16/2010,16,3,2010
Auba,6/29/2010,29,6,2010
Auba,3/24/2011,24,3,2011
Auba,7/25/2011,25,7,2011
Auba,3/19/2012,19,3,2012
Auba,6/21/2012,21,6,2012
Auba,3/20/2013,20,3,2013
Auba,6/17/2013,17,6,2013
Auba,3/11/2014,11,3,2014
Auba,6/17/2014,17,6,2014
Auba,3/10/2015,10,3,2015
Auba,6/16/2015,16,6,2015
Auba,4/11/2016,11,4,2016
Auba,6/21/2016,21,6,2016
Auba,3/16/2017,16,3,2017
Auba,6/12/2017,12,6,2017
Auba,3/7/2018,7,3,2018
Auba,6/15/2018,15,6,2018
Auba,4/2/2019,2,4,2019
Auba,7/5/2019,5,7,2019
Bieb,6/22/2001,22,6,2001
Bieb,8/30/2001,30,8,2001
Bieb,6/12/2002,12,6,2002
Bieb,3/11/2003,11,3,2003
Bieb,7/14/2003,14,7,2003
Bieb,7/9/2004,9,7,2004
Bieb,4/10/2006,10,4,2006
Bieb,7/13/2006,13,7,2006
Bieb,7/12/2007,12,7,2007
Bieb,4/24/2008,24,4,2008
Bieb,6/23/2008,23,6,2008
Bieb,4/8/2009,8,4,2009
Bieb,6/23/2009,23,6,2009
Bieb,3/16/2010,16,3,2010
Bieb,6/29/2010,29,6,2010
Bieb,3/24/2011,24,3,2011
Bieb,7/25/2011,25,7,2011
Bieb,3/19/2012,19,3,2012
Bieb,6/21/2012,21,6,2012
Bieb,3/19/2013,19,3,2013
Bieb,6/17/2013,17,6,2013
Bieb,3/11/2014,11,3,2014
Bieb,6/17/2014,17,6,2014
Bieb,3/25/2015,25,3,2015
Bieb,6/16/2015,16,6,2015
Bieb,4/11/2016,11,4,2016
Bieb,6/21/2016,21,6,2016
Bieb,3/16/2017,16,3,2017
Bieb,6/12/2017,12,6,2017
Bieb,3/7/2018,7,3,2018
Bieb,6/15/2018,15,6,2018
Bieb,4/2/2019,2,4,2019
Bieb,7/5/2019,5,7,2019
O3,3/22/2005,22,3,2005
O3,6/21/2006,21,6,2006
O3,4/12/2007,12,4,2007
O3,4/28/2008,28,4,2008
O3,6/11/2008,11,6,2008
O3,4/9/2009,9,4,2009
O3,6/23/2009,23,6,2009
O3,4/26/2010,26,4,2010
O3,6/26/2010,26,6,2010
O3,6/28/2010,28,6,2010
O3,4/20/2011,20,4,2011
O3,7/21/2011,21,7,2011
O3,3/21/2012,21,3,2012
O3,7/12/2012,12,7,2012
O3,4/25/2013,25,4,2013
O3,7/1/2013,1,7,2013
O3,3/10/2014,10,3,2014
O3,6/12/2014,12,6,2014
O3,3/17/2015,17,3,2015
O3,7/1/2015,1,7,2015
O3,4/25/2016,25,4,2016
O3,7/6/2016,6,7,2016
O3,3/28/2017,28,3,2017
O3,6/2/2017,2,6,2017
O3,3/9/2018,9,3,2018
O3,6/7/2018,7,6,2018
O3,4/1/2019,1,4,2019
O3,6/16/2019,16,6,2019
O3,6/18/2019,18,6,2019
W1,3/22/2005,22,3,2005
W1,6/21/2006,21,6,2006
W1,7/13/2006,13,7,2006
W1,4/12/2007,12,4,2007
W1,4/28/2008,28,4,2008
W1,6/11/2008,11,6,2008
W1,5/7/2009,7,5,2009
W1,6/13/2009,13,6,2009
W1,4/26/2010,26,4,2010
W1,6/25/2010,25,6,2010
W1,4/20/2011,20,4,2011
W1,7/4/2011,4,7,2011
W1,3/21/2012,21,3,2012
W1,6/28/2012,28,6,2012
W1,4/9/2013,9,4,2013
W1,6/27/2013,27,6,2013
W1,3/10/2014,10,3,2014
W1,6/10/2014,10,6,2014
W1,3/17/2015,17,3,2015
W1,7/2/2015,2,7,2015
W1,7/12/2015,12,7,2015
W1,4/25/2016,25,4,2016
W1,7/12/2016,12,7,2016
W1,3/28/2017,28,3,2017
W1,6/2/2017,2,6,2017
W1,6/7/2017,7,6,2017
W1,3/9/2018,9,3,2018
W1,6/5/2018,5,6,2018
W1,4/1/2019,1,4,2019
W1,6/28/2019,28,6,2019
