"","SppCode","syr","poly.sDOY..2.1","poly.sDOY..2.2","Ldens"
"Est","PO",0.0370314274085444,-0.0679957879272453,0.309737977744676,0.0190149920671972
"SE","PO",0.0086114001151674,0.162867762063303,0.160314459329518,0.0138228824804072
"t","PO",4.30027950313449,-0.41749077328647,1.93206513648295,1.37561699552532
"p","PO",0.0000170582824654542,0.676319471726972,0.0533514667670449,0.168940242083133
"Est1","OV",0.034444269116801,0.883382355765195,-0.657943669054705,0.0898339012237846
"SE1","OV",0.0247044484335231,0.21624831468608,0.21520040596042,0.0742630015742932
"t1","OV",1.3942537195067,4.08503694952523,-3.05735328945297,1.20967237142865
"p1","OV",0.163241001115529,0.0000440698031383135,0.00223300921210479,0.226404635544952
"Est2","HS",0.0163128464116885,4.685937825876,0.00910506308839565,0.0816041704071295
"SE2","HS",0.00952189850962836,0.219674215431136,0.20190388152676,0.0222371326596946
"t2","HS",1.71319263644674,21.3313056185465,0.0450960279690755,3.66972539382469
"p2","HS",0.0866771058739679,0,0.964030767425001,0.000242811164795631
"Est3","ET",-0.0304826930486791,-0.307544535896408,-0.829368659641471,0.706380644958179
"SE3","ET",0.077821754527966,0.628386814207331,0.693881022033501,0.184539635247399
"t3","ET",-0.39169886664178,-0.489419142704888,-1.19526061861572,3.82779907422697
"p3","ET",0.695280727546579,0.624544986303773,0.23198522111521,0.000129294233424559
"Est4","ED",-0.0985986589318008,-0.0798577911885517,0.329705505466946,0.0715953881847787
"SE4","ED",0.021945388931917,0.469817952474719,0.476180287601107,0.0489594085199281
"t4","ED",-4.49291007043401,-0.169976031711664,0.692396376019535,1.46234177146231
"p4","ED",0.00000702564581511744,0.865028986261768,0.488688441043415,0.143647577228832
"Est5","BR",-0.0572452114614485,-3.02569011107398,-0.603004799977602,-0.0380234105145486
"SE5","BR",0.00870173136146742,0.23796183672413,0.210594161492503,0.023027602482386
"t5","BR",-6.5786001754707,-12.7150225125455,-2.86335003641147,-1.65121013112994
"p5","BR",0.0000000000474897898783411,0,0.00419187191197889,0.0986956751273769
"Est6","AA",-0.0182498918670473,1.04133621707859,-0.0537608913384506,-0.0215565206916982
"SE6","AA",0.0272464075907572,0.400626846937354,0.397848351179352,0.0594412610305995
"t6","AA",-0.66980910442073,2.5992671860092,-0.135129104290833,-0.362652479404856
"p6","AA",0.502979488993724,0.00934230260260471,0.892509799318309,0.71686450228001
