"","taxa","Value","Std.Error","p.value"
"1","Ancylus fluviatilis Auba",-0.0457333161967271,0.0921956125749826,0.628142260930157
"2","Ancylus fluviatilis Bieb",0.0503580431655154,0.115824054685948,0.681846731788416
"3","Ancylus fluviatilis KiO3",0.260465126246425,0.109718346090878,0.0272138883821218
"4","Ancylus fluviatilis KiW1",0.170910906660728,0.246044090128907,0.504819308509396
"5","Aphelocheirus aestivalis KiO3",0.0428872309506887,0.10228098482169,0.678720481264317
"6","Aphelocheirus aestivalis KiW1",0.103874869026002,0.12178091615934,0.402111333528617
"7","Baetis rhodani Auba",-0.248630440605894,0.065541705887283,0.000623342028406514
"8","Baetis rhodani Bieb",-0.111610292989201,0.0721281718094844,0.132614410253146
"9","Baetis rhodani KiO3",0.0834952991998602,0.0938044831868733,0.383496648415471
"10","Baetis rhodani KiW1",0.158481230629765,0.127584686526288,0.237904067967539
"11","Eiseniella tetraedra Auba",-0.179933274285722,0.186047839327908,0.36569491212811
"12","Eiseniella tetraedra Bieb",0.247511748109694,0.131606441799866,0.0826017677865619
"13","Eiseniella tetraedra KiO3",-0.070030033359218,0.155199891306397,0.661454753896577
"14","Eiseniella tetraedra KiW1",0.0563804087676131,0.135005037526219,0.69075940453502
"15","Ephemera danica Auba",0.306821956273056,0.0675656907207136,0.0000708301911445944
"16","Ephemera danica Bieb",0.21279606715583,0.090687945003102,0.0293669241815168
"17","Ephemera danica KiO3",0.275517764028165,0.11508919712652,0.0292694843934231
"18","Ephemera danica KiW1",0.264732667877004,0.090568047945469,0.00744558654791498
"19","Gammarus roeselii KiO3",0.242367236042685,0.118879200678471,0.0521800957692532
"20","Gammarus roeselii KiW1",0.338371106249101,0.108453358178592,0.00498661690505412
"21","Hydropsyche siltalai Auba",-0.20593121564423,0.0906381460590412,0.0306815368824436
"22","Hydropsyche siltalai Bieb",-0.0923106673290668,0.100058451164077,0.364403919941105
"23","Hydropsyche siltalai KiO3",-0.302023124182895,0.126822004370389,0.0487763966076463
"24","Hydropsyche siltalai KiW1",-0.206166431102383,0.137054872988474,0.158370761922169
"25","Orectochilus villosus Auba",0.061970172480851,0.231460795106726,0.806255748442719
"26","Orectochilus villosus Bieb",-0.18172540477985,0.100596212890542,0.0896863931014674
"27","Orectochilus villosus KiO3",0.0967645767962205,0.109335948673698,0.405518141155431
"28","Prodiamesa olivacea Auba",0.0220512665604378,0.14425463230044,0.879899298852795
"29","Prodiamesa olivacea Bieb",-0.096835189798654,0.193502853240067,0.622517420567854
"30","Prodiamesa olivacea KiO3",-0.0935941315213804,0.150544715978905,0.542894777098273
"31","Prodiamesa olivacea KiW1",0.275876379280609,0.1779683998632,0.152151432653394
